channel,angle,window,exp_f1_left,exp_f2_left,exp_L1_left,exp_L2_left,exp_f1_right,exp_f2_right,exp_L1_right,exp_L2_right,act_f1_left,act_f2_left,act_L1_left,act_L2_left,act_f1_right,act_f2_right,act_L1_right,act_L2_right,abs_threshold,warning,error,GT_F_Left_MHz,GT_F_Right_MHz,ACT_F_Star_Left_MHz,ACT_F_Star_Right_MHz,BW_GT_MHz,BW_ACT_MHz,MaxAbs_GT_MHz,MaxAbs_ACT_MHz,M_GT,M_ACT
65,0,28,4,5,12,27,19,20,21,0,3,4,6,15,19,20,21,3,12,1,0,-2.1972656249999996,2.3193359374999996,-2.365904761904762,2.3897142857142857,4.516601562499999,4.755619047619048,2.3193359374999996,2.3897142857142857,13.0,13.0
4,0,34,3,4,15,30,19,20,24,0,3,4,15,30,19,20,24,3,18,1,0,-2.3193359374999996,2.3193359374999996,-2.432571428571429,2.359102040816327,4.638671874999999,4.791673469387756,2.3193359374999996,2.432571428571429,13.0,13.0
26,0,33,3,4,0,27,19,20,24,6,3,4,0,27,19,20,24,6,18,0,0,-2.3193359374999996,2.3193359374999996,-2.365904761904762,2.365904761904762,4.638671874999999,4.731809523809524,2.3193359374999996,2.365904761904762,13.0,13.0
84,0,36,3,4,12,30,18,19,24,15,3,4,15,30,18,19,24,15,18,1,0,-2.3193359374999996,2.1972656249999996,-2.432571428571429,2.2895238095238097,4.516601562499999,4.722095238095239,2.3193359374999996,2.432571428571429,13.0,13.0
70,0,36,2,3,0,21,19,20,18,0,2,3,0,21,19,20,21,0,15,1,0,-2.4414062499999996,2.3193359374999996,-2.5019591836734696,2.359102040816327,4.760742187499999,4.861061224489797,2.4414062499999996,2.5019591836734696,13.0,12.0
29,0,31,3,4,0,21,19,20,24,6,3,4,0,21,19,20,24,9,15,1,0,-2.3193359374999996,2.3193359374999996,-2.3591020408163264,2.4040000000000004,4.638671874999999,4.763102040816326,2.3193359374999996,2.4040000000000004,13.0,13.0
76,0,32,3,4,0,27,19,20,18,0,3,4,6,27,19,20,21,0,15,1,0,-2.3193359374999996,2.3193359374999996,-2.3999183673469386,2.359102040816327,4.638671874999999,4.759020408163265,2.3193359374999996,2.3999183673469386,13.0,13.0
104,0,29,3,4,12,30,19,20,21,0,3,4,15,30,19,20,21,0,15,1,0,-2.3193359374999996,2.3193359374999996,-2.4611428571428573,2.359102040816327,4.638671874999999,4.820244897959184,2.3193359374999996,2.4611428571428573,13.0,13.0
98,0,25,3,4,6,24,19,20,15,0,3,4,6,24,19,20,15,0,15,0,0,-2.3193359374999996,2.1972656249999996,-2.3897142857142857,2.3182857142857145,4.516601562499999,4.708,2.3193359374999996,2.3897142857142857,13.0,13.0
90,0,27,3,4,0,18,19,20,18,0,3,4,3,18,19,20,18,0,12,1,0,-2.3193359374999996,2.3193359374999996,-2.3754285714285714,2.365904761904762,4.638671874999999,4.741333333333333,2.3193359374999996,2.3754285714285714,13.0,13.0
44,0,31,3,4,0,21,18,19,27,9,3,4,6,21,18,19,27,12,15,1,0,-2.3193359374999996,2.1972656249999996,-2.3754285714285714,2.3010285714285716,4.516601562499999,4.676457142857143,2.3193359374999996,2.3754285714285714,13.0,13.0
20,0,29,4,5,15,24,19,20,18,0,4,5,15,24,19,20,18,3,15,1,0,-2.1972656249999996,2.3193359374999996,-2.318285714285714,2.346857142857143,4.516601562499999,4.6651428571428575,2.3193359374999996,2.346857142857143,13.0,13.0
123,0,28,3,4,6,18,19,20,18,3,3,4,6,21,19,20,18,6,15,1,0,-2.3193359374999996,2.3193359374999996,-2.3754285714285714,2.354,4.638671874999999,4.7294285714285715,2.3193359374999996,2.3754285714285714,13.0,13.0
14,0,30,3,4,12,24,18,19,27,9,3,4,12,24,18,19,27,12,18,1,0,-2.3193359374999996,2.1972656249999996,-2.3897142857142857,2.283771428571429,4.516601562499999,4.6734857142857145,2.3193359374999996,2.3897142857142857,13.0,13.0
49,0,26,3,4,0,24,18,19,21,12,3,4,6,24,18,19,21,12,18,1,0,-2.3193359374999996,2.1972656249999996,-2.365904761904762,2.260761904761905,4.516601562499999,4.626666666666667,2.3193359374999996,2.365904761904762,13.0,13.0
46,0,26,3,4,0,27,19,20,15,0,3,4,0,27,19,20,15,0,15,0,0,-2.3193359374999996,2.1972656249999996,-2.3817777777777778,2.3182857142857145,4.516601562499999,4.700063492063492,2.3193359374999996,2.3817777777777778,13.0,13.0
78,0,30,3,4,9,24,18,19,21,12,3,4,12,24,18,19,21,12,18,1,0,-2.3193359374999996,2.1972656249999996,-2.3897142857142857,2.260761904761905,4.516601562499999,4.650476190476191,2.3193359374999996,2.3897142857142857,13.0,13.0
104,0,29,3,4,12,30,19,20,21,0,3,4,15,30,19,20,21,0,15,1,0,-2.3193359374999996,2.3193359374999996,-2.4611428571428573,2.359102040816327,4.638671874999999,4.820244897959184,2.3193359374999996,2.4611428571428573,13.0,13.0
94,0,25,3,4,6,15,18,19,18,6,3,4,9,15,18,19,18,6,9,1,0,-2.3193359374999996,2.1972656249999996,-2.4611428571428573,2.2967142857142857,4.516601562499999,4.757857142857143,2.3193359374999996,2.4611428571428573,13.0,13.0
69,0,32,3,4,0,24,19,20,24,6,3,4,0,27,19,20,24,6,12,1,0,-2.3193359374999996,2.3193359374999996,-2.3976507936507936,2.41352380952381,4.638671874999999,4.811174603174603,2.3193359374999996,2.41352380952381,13.0,13.0
125,0,26,4,5,24,30,17,18,24,18,4,5,24,30,17,18,24,18,24,0,0,-2.3193359374999996,2.1972656249999996,-2.318285714285714,2.1754285714285713,4.516601562499999,4.493714285714285,2.3193359374999996,2.318285714285714,13.0,13.0
11,0,31,3,4,6,24,17,18,21,12,3,4,9,27,19,20,15,6,15,1,1,-2.3193359374999996,2.0751953124999996,-2.4135238095238094,2.3182857142857145,4.394531249999999,4.731809523809524,2.3193359374999996,2.4135238095238094,13.0,13.0
38,0,33,3,4,0,30,19,20,21,0,3,4,6,30,19,20,21,3,15,1,0,-2.3193359374999996,2.3193359374999996,-2.4075714285714285,2.365904761904762,4.638671874999999,4.77347619047619,2.3193359374999996,2.4075714285714285,13.0,13.0
80,0,35,3,4,0,18,19,20,21,0,3,4,0,18,19,20,21,6,15,1,0,-2.3193359374999996,2.3193359374999996,-2.342095238095238,2.3754285714285714,4.638671874999999,4.71752380952381,2.3193359374999996,2.3754285714285714,13.0,13.0
74,0,30,3,4,3,24,19,20,15,0,3,4,6,24,19,20,15,3,15,1,0,-2.3193359374999996,2.1972656249999996,-2.3897142857142857,2.3182857142857145,4.516601562499999,4.708,2.3193359374999996,2.3897142857142857,13.0,13.0
91,0,28,3,4,0,27,19,20,18,0,3,4,0,27,19,20,21,0,12,1,0,-2.3193359374999996,2.3193359374999996,-2.3976507936507936,2.3795102040816327,4.638671874999999,4.777160997732427,2.3193359374999996,2.3976507936507936,13.0,13.0
6,0,26,4,5,15,24,19,20,15,0,3,4,6,18,19,20,15,0,15,1,0,-2.1972656249999996,2.0751953124999996,-2.354,2.3182857142857145,4.272460937499999,4.672285714285715,2.1972656249999996,2.354,14.0,13.0
30,0,35,3,4,6,30,19,20,30,12,3,4,9,30,19,20,30,15,18,1,0,-2.3193359374999996,2.3193359374999996,-2.3999183673469386,2.432571428571429,4.638671874999999,4.8324897959183675,2.3193359374999996,2.432571428571429,13.0,13.0
127,0,29,4,5,15,27,18,19,21,9,4,5,15,27,18,19,21,12,18,1,0,-2.1972656249999996,2.1972656249999996,-2.2967142857142857,2.260761904761905,4.394531249999999,4.557476190476191,2.1972656249999996,2.2967142857142857,14.0,14.0
110,0,26,4,5,15,24,19,20,15,0,3,4,9,18,19,20,15,6,15,1,0,-2.3193359374999996,2.1972656249999996,-2.365904761904762,2.3182857142857145,4.516601562499999,4.6841904761904765,2.3193359374999996,2.365904761904762,13.0,13.0
111,0,28,3,4,0,21,19,20,18,0,3,4,0,21,19,20,21,6,12,1,0,-2.3193359374999996,2.3193359374999996,-2.3795102040816327,2.4040000000000004,4.638671874999999,4.783510204081633,2.3193359374999996,2.4040000000000004,13.0,13.0
49,0,26,3,4,0,24,18,19,21,12,3,4,6,24,18,19,21,12,18,1,0,-2.3193359374999996,2.1972656249999996,-2.365904761904762,2.260761904761905,4.516601562499999,4.626666666666667,2.3193359374999996,2.365904761904762,13.0,13.0
59,0,29,3,4,0,30,19,20,15,0,3,4,0,30,19,20,15,0,15,0,0,-2.3193359374999996,2.1972656249999996,-2.3897142857142857,2.3182857142857145,4.516601562499999,4.708,2.3193359374999996,2.3897142857142857,13.0,13.0
107,0,35,3,4,6,27,19,20,21,6,3,4,9,27,19,20,21,9,15,1,0,-2.3193359374999996,2.3193359374999996,-2.4135238095238094,2.3897142857142857,4.638671874999999,4.803238095238095,2.3193359374999996,2.4135238095238094,13.0,13.0
21,0,30,3,4,0,30,18,19,18,12,3,4,3,30,18,19,18,15,18,1,0,-2.3193359374999996,1.9531249999999998,-2.3817777777777778,2.232,4.272460937499999,4.613777777777778,2.3193359374999996,2.3817777777777778,13.0,13.0
46,0,30,3,4,0,21,18,19,18,0,3,4,0,21,18,19,18,3,18,1,0,-2.3193359374999996,2.1972656249999996,-2.3386938775510204,2.232,4.516601562499999,4.570693877551021,2.3193359374999996,2.3386938775510204,13.0,13.0
86,0,28,3,4,0,24,18,19,21,12,3,4,3,24,18,19,21,15,18,1,0,-2.3193359374999996,2.1972656249999996,-2.3591020408163264,2.2751428571428574,4.516601562499999,4.634244897959183,2.3193359374999996,2.3591020408163264,13.0,13.0
90,0,29,3,4,0,21,18,19,15,0,3,4,3,21,18,19,15,9,15,1,1,-2.3193359374999996,2.1972656249999996,-2.365904761904762,2.232,4.516601562499999,4.597904761904762,2.3193359374999996,2.365904761904762,13.0,13.0
83,0,35,3,4,6,21,19,20,24,6,3,4,9,21,19,20,24,9,12,1,0,-2.3193359374999996,2.3193359374999996,-2.4254285714285713,2.432571428571429,4.638671874999999,4.8580000000000005,2.3193359374999996,2.432571428571429,13.0,13.0
78,0,26,3,4,6,27,18,19,18,0,3,4,9,27,18,19,18,9,18,1,1,-2.3193359374999996,2.1972656249999996,-2.3897142857142857,2.232,4.516601562499999,4.621714285714286,2.3193359374999996,2.3897142857142857,13.0,13.0
22,0,35,3,4,9,18,19,20,21,0,3,4,12,18,19,20,24,0,15,1,0,-2.3193359374999996,2.3193359374999996,-2.3897142857142857,2.371857142857143,4.638671874999999,4.761571428571429,2.3193359374999996,2.3897142857142857,13.0,13.0
94,0,33,3,4,9,30,19,20,24,3,3,4,12,30,19,20,24,6,18,1,0,-2.3193359374999996,2.3193359374999996,-2.4135238095238094,2.365904761904762,4.638671874999999,4.779428571428571,2.3193359374999996,2.4135238095238094,13.0,13.0
21,0,28,3,4,6,27,19,20,15,0,3,4,6,27,19,20,18,0,15,1,0,-2.3193359374999996,2.1972656249999996,-2.3999183673469386,2.3420952380952382,4.516601562499999,4.742013605442176,2.3193359374999996,2.3999183673469386,13.0,13.0
49,0,32,3,4,12,27,19,20,18,0,3,4,15,27,19,20,18,0,18,1,0,-2.4414062499999996,2.1972656249999996,-2.4254285714285713,2.3182857142857145,4.638671874999999,4.743714285714286,2.4414062499999996,2.4254285714285713,13.0,13.0
127,0,29,4,5,15,27,18,19,21,9,4,5,15,27,18,19,21,12,18,1,0,-2.1972656249999996,2.1972656249999996,-2.2967142857142857,2.260761904761905,4.394531249999999,4.557476190476191,2.1972656249999996,2.2967142857142857,14.0,14.0
89,0,35,3,4,9,33,19,20,15,6,3,4,12,33,19,20,15,9,15,1,0,-2.4414062499999996,2.1972656249999996,-2.440734693877551,2.3182857142857145,4.638671874999999,4.759020408163265,2.4414062499999996,2.440734693877551,13.0,13.0
29,0,33,3,4,0,18,19,20,21,9,3,4,0,18,19,20,21,9,15,0,0,-2.3193359374999996,2.3193359374999996,-2.342095238095238,2.3897142857142857,4.638671874999999,4.731809523809524,2.3193359374999996,2.3897142857142857,13.0,13.0
42,0,35,3,4,0,27,19,20,21,6,3,4,0,27,19,20,21,9,12,1,0,-2.3193359374999996,2.3193359374999996,-2.3976507936507936,2.4254285714285717,4.638671874999999,4.823079365079366,2.3193359374999996,2.4254285714285717,13.0,13.0
30,0,25,5,6,18,27,17,18,21,3,5,6,18,27,17,18,21,9,18,1,0,-2.1972656249999996,2.0751953124999996,-2.232,2.1895714285714285,4.272460937499999,4.421571428571429,2.1972656249999996,2.232,14.0,14.0
104,0,25,3,4,12,30,19,20,18,0,3,4,12,30,19,20,18,0,18,0,0,-2.3193359374999996,2.3193359374999996,-2.4135238095238094,2.3182857142857145,4.638671874999999,4.731809523809524,2.3193359374999996,2.4135238095238094,13.0,13.0
52,0,30,4,5,12,24,19,20,27,6,3,4,6,15,19,20,27,6,12,1,0,-2.1972656249999996,2.3193359374999996,-2.365904761904762,2.420326530612245,4.516601562499999,4.786231292517007,2.3193359374999996,2.420326530612245,13.0,13.0
9,0,29,3,4,9,24,19,20,21,3,3,4,12,24,19,20,21,6,18,1,0,-2.3193359374999996,2.3193359374999996,-2.3897142857142857,2.346857142857143,4.638671874999999,4.736571428571429,2.3193359374999996,2.3897142857142857,13.0,13.0
117,0,28,3,4,0,24,16,17,39,15,3,4,0,27,16,17,39,15,18,1,0,-2.3193359374999996,2.0751953124999996,-2.365904761904762,2.1575714285714285,4.394531249999999,4.52347619047619,2.3193359374999996,2.365904761904762,13.0,13.0
113,0,34,3,4,12,30,18,19,18,6,3,4,12,33,18,19,18,0,12,1,0,-2.3193359374999996,2.1972656249999996,-2.4611428571428573,2.260761904761905,4.516601562499999,4.721904761904762,2.3193359374999996,2.4611428571428573,13.0,13.0
41,0,36,3,4,6,21,19,20,24,6,3,4,12,21,19,20,24,6,18,1,0,-2.3193359374999996,2.3193359374999996,-2.365904761904762,2.365904761904762,4.638671874999999,4.731809523809524,2.3193359374999996,2.365904761904762,13.0,13.0
84,0,28,3,4,0,21,19,20,24,0,3,4,3,21,19,20,24,0,15,1,0,-2.3193359374999996,2.3193359374999996,-2.365904761904762,2.371857142857143,4.638671874999999,4.737761904761905,2.3193359374999996,2.371857142857143,13.0,13.0
51,0,32,4,5,18,27,19,20,18,0,4,5,18,27,19,20,18,6,18,1,0,-2.4414062499999996,2.3193359374999996,-2.318285714285714,2.3182857142857145,4.760742187499999,4.636571428571429,2.4414062499999996,2.3182857142857145,13.0,13.0
59,0,35,3,4,9,30,19,20,24,0,3,4,12,30,19,20,24,0,18,1,0,-2.3193359374999996,2.3193359374999996,-2.4135238095238094,2.354,4.638671874999999,4.7675238095238095,2.3193359374999996,2.4135238095238094,13.0,13.0
34,0,27,3,4,6,24,18,19,24,15,3,4,6,27,18,19,24,15,18,1,0,-2.3193359374999996,2.1972656249999996,-2.3795102040816327,2.2895238095238097,4.516601562499999,4.669034013605442,2.3193359374999996,2.3795102040816327,13.0,13.0
32,0,27,3,4,0,18,18,19,27,12,3,4,3,18,18,19,27,12,15,1,0,-2.1972656249999996,2.1972656249999996,-2.3468571428571425,2.3010285714285716,4.394531249999999,4.647885714285714,2.1972656249999996,2.3468571428571425,14.0,13.0
72,0,36,3,4,18,30,19,20,27,0,2,3,3,21,19,20,27,3,18,1,0,-2.4414062499999996,2.3193359374999996,-2.484952380952381,2.371857142857143,4.760742187499999,4.856809523809524,2.4414062499999996,2.484952380952381,13.0,13.0
34,0,33,3,4,0,27,18,19,24,18,3,4,6,27,18,19,24,18,21,1,0,-2.3193359374999996,2.1972656249999996,-2.3591020408163264,2.2751428571428574,4.516601562499999,4.634244897959183,2.3193359374999996,2.3591020408163264,13.0,13.0
75,0,36,3,4,15,33,18,19,24,18,3,4,15,33,19,20,21,6,21,1,0,-2.3193359374999996,2.1972656249999996,-2.4135238095238094,2.3182857142857145,4.516601562499999,4.731809523809524,2.3193359374999996,2.4135238095238094,13.0,13.0
115,0,31,4,5,12,27,19,20,15,0,2,3,0,15,19,20,15,0,12,0,1,-2.1972656249999996,2.1972656249999996,-2.4897142857142858,2.346857142857143,4.394531249999999,4.836571428571428,2.1972656249999996,2.4897142857142858,14.0,13.0
52,0,34,3,4,12,27,19,20,27,0,3,4,12,27,19,20,27,0,18,0,0,-2.3193359374999996,2.3193359374999996,-2.404,2.365904761904762,4.638671874999999,4.769904761904762,2.3193359374999996,2.404,13.0,13.0
29,0,30,3,4,6,21,19,20,18,0,3,4,6,21,19,20,18,0,15,0,0,-2.3193359374999996,2.3193359374999996,-2.3754285714285714,2.3420952380952382,4.638671874999999,4.71752380952381,2.3193359374999996,2.3754285714285714,13.0,13.0
66,0,27,3,4,0,24,19,20,12,0,3,4,0,24,19,20,12,0,9,0,0,-2.3193359374999996,2.1972656249999996,-2.4075714285714285,2.354,4.516601562499999,4.761571428571429,2.3193359374999996,2.4075714285714285,13.0,13.0
12,0,32,3,4,12,27,19,20,24,0,2,3,3,15,19,20,24,6,12,1,0,-2.3193359374999996,2.3193359374999996,-2.496857142857143,2.41352380952381,4.638671874999999,4.910380952380953,2.3193359374999996,2.496857142857143,13.0,13.0
111,0,25,3,4,6,21,18,19,12,9,3,4,6,21,19,20,12,0,12,1,0,-2.3193359374999996,2.0751953124999996,-2.404,2.3182857142857145,4.394531249999999,4.722285714285714,2.3193359374999996,2.404,13.0,13.0
20,0,26,3,4,0,18,19,20,18,0,3,4,0,18,19,20,21,0,12,1,0,-2.3193359374999996,2.3193359374999996,-2.365904761904762,2.3795102040816327,4.638671874999999,4.745414965986395,2.3193359374999996,2.3795102040816327,13.0,13.0
21,0,35,3,4,9,33,18,19,27,18,3,4,12,33,19,20,21,3,21,1,0,-2.3193359374999996,2.1972656249999996,-2.3999183673469386,2.3182857142857145,4.516601562499999,4.718204081632653,2.3193359374999996,2.3999183673469386,13.0,13.0
55,0,35,3,4,6,30,19,20,24,6,3,4,6,30,19,20,24,9,18,1,0,-2.3193359374999996,2.3193359374999996,-2.3897142857142857,2.3754285714285714,4.638671874999999,4.765142857142857,2.3193359374999996,2.3897142857142857,13.0,13.0
9,0,34,3,4,12,27,19,20,18,0,3,4,12,27,19,20,18,0,18,0,0,-2.3193359374999996,2.1972656249999996,-2.404,2.3182857142857145,4.516601562499999,4.722285714285714,2.3193359374999996,2.404,13.0,13.0
49,0,31,3,4,9,27,18,19,21,0,3,4,9,27,18,19,21,6,15,1,0,-2.3193359374999996,2.1972656249999996,-2.4135238095238094,2.266514285714286,4.516601562499999,4.680038095238095,2.3193359374999996,2.4135238095238094,13.0,13.0
60,0,34,3,4,6,30,19,20,21,0,3,4,9,30,19,20,21,0,12,1,0,-2.3193359374999996,2.3193359374999996,-2.440734693877551,2.3795102040816327,4.638671874999999,4.820244897959183,2.3193359374999996,2.440734693877551,13.0,13.0
33,0,33,3,4,0,18,19,20,18,0,3,4,3,18,19,20,18,0,12,1,0,-2.3193359374999996,2.1972656249999996,-2.3754285714285714,2.365904761904762,4.516601562499999,4.741333333333333,2.3193359374999996,2.3754285714285714,13.0,13.0
111,0,33,3,4,6,27,18,19,18,12,3,4,9,27,18,19,18,12,15,1,0,-2.3193359374999996,2.1972656249999996,-2.4135238095238094,2.2751428571428574,4.516601562499999,4.688666666666666,2.3193359374999996,2.4135238095238094,13.0,13.0
88,0,25,4,5,18,21,17,18,24,15,4,5,18,21,17,18,24,15,18,0,0,-2.1972656249999996,2.1972656249999996,-2.318285714285714,2.213142857142857,4.394531249999999,4.531428571428571,2.1972656249999996,2.318285714285714,14.0,13.0
15,0,36,3,4,18,36,16,17,30,12,2,3,3,21,16,17,30,12,18,1,0,-2.4414062499999996,2.0751953124999996,-2.484952380952381,2.127809523809524,4.516601562499999,4.612761904761905,2.4414062499999996,2.484952380952381,13.0,13.0
114,0,35,3,4,9,33,19,20,24,0,3,4,9,33,19,20,24,3,18,1,0,-2.3193359374999996,2.3193359374999996,-2.4075714285714285,2.359102040816327,4.638671874999999,4.766673469387755,2.3193359374999996,2.4075714285714285,13.0,13.0
97,0,33,3,4,3,21,19,20,21,0,3,4,3,24,19,20,21,3,15,1,0,-2.3193359374999996,2.3193359374999996,-2.3795102040816327,2.365904761904762,4.638671874999999,4.745414965986395,2.3193359374999996,2.3795102040816327,13.0,13.0
99,0,29,4,5,15,27,19,20,21,0,4,5,18,27,19,20,21,3,18,1,0,-2.1972656249999996,2.3193359374999996,-2.318285714285714,2.3420952380952382,4.516601562499999,4.660380952380953,2.3193359374999996,2.3420952380952382,13.0,13.0
44,0,35,3,4,6,27,19,20,24,3,3,4,6,27,19,20,24,9,15,1,0,-2.3193359374999996,2.3193359374999996,-2.3999183673469386,2.4040000000000004,4.638671874999999,4.803918367346939,2.3193359374999996,2.4040000000000004,13.0,13.0
38,0,26,6,7,15,42,19,20,18,0,5,6,15,18,19,20,21,3,15,1,0,-2.3193359374999996,2.3193359374999996,-2.232,2.365904761904762,4.638671874999999,4.597904761904762,2.3193359374999996,2.365904761904762,13.0,13.0
21,0,31,3,4,0,30,18,19,18,9,3,4,9,30,18,19,18,12,18,1,1,-2.3193359374999996,2.1972656249999996,-2.3999183673469386,2.232,4.516601562499999,4.631918367346939,2.3193359374999996,2.3999183673469386,13.0,13.0
1,0,32,3,4,12,27,19,20,15,0,3,4,15,30,19,20,15,0,15,1,0,-2.4414062499999996,2.1972656249999996,-2.4611428571428573,2.3182857142857145,4.638671874999999,4.779428571428571,2.4414062499999996,2.4611428571428573,13.0,13.0
113,0,36,2,3,0,21,19,20,24,0,2,3,3,21,19,20,27,0,15,1,0,-2.4414062499999996,2.3193359374999996,-2.5087619047619047,2.3817777777777778,4.760742187499999,4.890539682539682,2.4414062499999996,2.5087619047619047,13.0,12.0
34,0,36,2,3,0,21,19,20,27,0,2,3,3,24,19,20,27,6,18,1,0,-2.4414062499999996,2.3193359374999996,-2.5019591836734696,2.3795102040816327,4.760742187499999,4.881469387755102,2.4414062499999996,2.5019591836734696,13.0,12.0
98,0,33,3,4,12,30,18,19,21,6,3,4,12,30,18,19,21,9,18,1,0,-2.3193359374999996,2.1972656249999996,-2.4135238095238094,2.253571428571429,4.516601562499999,4.667095238095238,2.3193359374999996,2.4135238095238094,13.0,13.0
65,0,27,3,4,0,24,19,20,18,0,3,4,3,24,19,20,18,3,15,1,0,-2.3193359374999996,2.1972656249999996,-2.3795102040816327,2.346857142857143,4.516601562499999,4.726367346938776,2.3193359374999996,2.3795102040816327,13.0,13.0
112,0,26,3,4,6,21,18,19,21,9,3,4,9,24,18,19,21,9,18,1,0,-2.3193359374999996,2.1972656249999996,-2.3754285714285714,2.253571428571429,4.516601562499999,4.6290000000000004,2.3193359374999996,2.3754285714285714,13.0,13.0
39,0,35,3,4,6,21,19,20,24,0,3,4,6,24,19,20,24,6,12,1,0,-2.3193359374999996,2.3193359374999996,-2.4135238095238094,2.41352380952381,4.638671874999999,4.827047619047619,2.3193359374999996,2.41352380952381,13.0,13.0
65,0,35,3,4,6,30,19,20,21,3,3,4,12,30,19,20,21,6,18,1,0,-2.3193359374999996,2.3193359374999996,-2.4135238095238094,2.346857142857143,4.638671874999999,4.760380952380952,2.3193359374999996,2.4135238095238094,13.0,13.0
26,0,34,3,4,9,27,19,20,27,0,3,4,9,27,19,20,27,3,15,1,0,-2.3193359374999996,2.3193359374999996,-2.4135238095238094,2.3897142857142857,4.638671874999999,4.803238095238095,2.3193359374999996,2.4135238095238094,13.0,13.0
48,0,27,3,4,0,24,19,20,18,0,3,4,6,24,19,20,18,3,12,1,0,-2.3193359374999996,2.3193359374999996,-2.4135238095238094,2.3754285714285714,4.638671874999999,4.788952380952381,2.3193359374999996,2.4135238095238094,13.0,13.0
70,0,27,3,4,6,27,19,20,15,0,3,4,6,27,19,20,15,3,12,1,0,-2.3193359374999996,2.1972656249999996,-2.420326530612245,2.354,4.516601562499999,4.774326530612245,2.3193359374999996,2.420326530612245,13.0,13.0
118,0,33,3,4,3,27,19,20,18,6,3,4,9,27,19,20,18,9,18,1,0,-2.3193359374999996,2.3193359374999996,-2.3897142857142857,2.3182857142857145,4.638671874999999,4.708,2.3193359374999996,2.3897142857142857,13.0,13.0
77,0,25,3,4,0,21,18,19,15,12,3,4,3,21,19,20,15,0,15,1,0,-2.3193359374999996,2.1972656249999996,-2.365904761904762,2.3182857142857145,4.516601562499999,4.6841904761904765,2.3193359374999996,2.365904761904762,13.0,13.0
63,0,30,3,4,6,24,19,20,15,0,3,4,9,24,19,20,15,0,15,1,0,-2.3193359374999996,2.3193359374999996,-2.404,2.3182857142857145,4.638671874999999,4.722285714285714,2.3193359374999996,2.404,13.0,13.0
15,0,25,3,4,0,24,18,19,18,6,3,4,9,24,18,19,18,6,12,0,1,-2.3193359374999996,2.1972656249999996,-2.432571428571429,2.2751428571428574,4.516601562499999,4.707714285714286,2.3193359374999996,2.432571428571429,13.0,13.0
