channel,angle,window,exp_f1_left,exp_f2_left,exp_L1_left,exp_L2_left,exp_f1_right,exp_f2_right,exp_L1_right,exp_L2_right,act_f1_left,act_f2_left,act_L1_left,act_L2_left,act_f1_right,act_f2_right,act_L1_right,act_L2_right,abs_threshold,warning,error
71,0,29,8,9,12,18,13,14,24,0,8,9,15,18,13,14,24,6,15,1,0
25,0,35,7,8,0,21,14,15,18,15,7,8,3,24,15,16,18,6,18,1,0
3,0,29,7,8,0,9,14,15,6,0,7,8,6,12,14,15,9,3,6,1,0
78,0,29,8,9,15,27,13,14,18,6,8,9,18,27,13,14,18,6,18,1,0
5,0,34,6,7,0,3,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1
75,0,30,9,10,15,24,13,14,24,9,9,10,15,24,13,14,24,12,18,1,0
70,0,36,7,8,15,27,14,15,15,6,7,8,15,27,14,15,18,9,15,1,0
3,0,36,7,8,9,27,14,15,24,12,7,8,12,27,14,15,24,12,21,1,0
25,0,29,8,9,15,24,13,14,18,3,8,9,15,24,13,14,18,6,18,1,0
78,0,34,7,8,6,24,14,15,12,0,7,8,9,24,14,15,12,3,9,1,0
79,0,26,8,9,6,18,13,14,21,6,8,9,9,18,14,15,12,0,12,1,0
89,0,34,7,8,0,21,14,15,15,6,7,8,3,21,14,15,18,6,15,1,0
103,0,25,7,8,0,18,13,14,18,0,7,8,3,18,13,14,21,3,12,1,0
113,0,28,8,9,12,18,14,15,15,9,8,9,15,18,14,15,15,9,15,1,0
52,0,37,5,6,12,18,16,17,18,12,5,6,12,18,16,17,18,12,15,0,0
127,0,37,7,8,9,27,15,16,21,9,7,8,12,27,15,16,21,9,18,1,0
76,0,31,8,9,0,18,14,15,9,6,8,9,0,18,15,16,12,0,9,1,0
90,0,33,9,10,9,30,15,16,12,0,9,10,9,30,15,16,15,0,12,1,0
26,0,30,9,10,21,30,13,14,27,18,8,9,12,24,14,15,21,6,21,1,0
48,0,35,8,9,15,24,14,15,15,6,8,9,15,24,14,15,18,3,15,1,0
126,0,34,7,8,0,21,14,15,24,12,7,8,6,21,14,15,24,15,18,1,0
62,0,31,9,10,15,27,14,15,15,3,9,10,15,27,14,15,15,6,15,1,0
98,0,26,8,9,12,18,13,14,15,12,8,9,12,18,13,14,15,12,15,0,0
104,0,26,10,11,15,48,12,13,39,12,10,11,15,48,12,13,39,12,18,0,0
35,0,36,7,8,15,27,14,15,21,12,7,8,15,27,14,15,21,12,15,0,0
19,0,26,8,9,6,21,13,14,21,9,8,9,9,21,13,14,21,9,18,1,0
104,0,29,7,8,0,18,14,15,15,0,7,8,6,18,14,15,15,3,15,1,0
14,0,35,7,8,6,24,15,16,15,0,7,8,9,27,15,16,18,0,12,1,0
105,0,30,8,9,15,24,12,13,39,15,8,9,15,24,12,13,39,15,18,0,0
27,0,29,8,9,6,21,13,14,24,15,8,9,12,21,13,14,24,15,18,1,0
55,0,32,7,8,6,15,13,14,30,6,7,8,9,15,13,14,30,6,12,1,0
68,0,36,7,8,3,18,14,15,18,9,7,8,3,18,14,15,21,12,15,1,0
101,0,31,7,8,0,12,15,16,9,0,7,8,3,12,19,20,3,0,3,1,1
8,0,29,8,9,12,21,14,15,18,6,8,9,12,21,14,15,18,12,18,1,0
6,0,33,7,8,0,15,15,16,12,0,7,8,0,15,15,16,12,0,12,0,0
82,0,32,9,10,12,27,14,15,12,0,8,9,0,15,14,15,15,3,12,1,0
37,0,33,9,10,18,30,14,15,21,6,8,9,12,21,14,15,21,9,18,1,0
83,0,26,9,10,9,24,14,15,12,6,8,9,9,12,15,16,9,0,9,1,0
66,0,30,9,10,9,27,13,14,21,9,9,10,9,27,13,14,21,9,12,0,0
63,0,33,8,9,15,21,14,15,18,6,8,9,15,21,14,15,18,9,15,1,0
123,0,27,7,8,0,12,14,15,12,6,7,8,0,12,15,16,9,0,6,1,0
88,0,33,7,8,0,12,15,16,9,0,7,8,0,12,15,16,9,0,6,0,0
103,0,35,7,8,0,18,15,16,12,0,7,8,6,18,15,16,12,0,12,1,0
69,0,31,7,8,0,9,15,16,9,0,7,8,3,9,22,23,3,0,3,1,1
125,0,27,7,8,0,15,12,13,39,9,7,8,3,18,14,15,12,0,12,1,1
85,0,32,8,9,15,27,14,15,18,6,8,9,15,27,14,15,21,6,15,1,0
96,0,37,5,6,9,15,15,16,18,6,5,6,9,15,15,16,18,9,12,1,0
40,0,36,6,7,0,15,14,15,18,6,6,7,6,15,14,15,21,6,9,1,0
113,0,34,7,8,0,18,15,16,12,0,7,8,6,18,15,16,12,0,12,1,0
36,0,29,9,10,0,33,14,15,12,0,7,8,6,12,14,15,12,0,9,0,1
90,0,36,7,8,9,24,14,15,24,12,7,8,9,24,14,15,24,12,18,0,0
12,0,28,8,9,15,24,13,14,24,12,8,9,15,24,13,14,24,12,18,0,0
89,0,28,8,9,6,15,14,15,9,0,7,8,3,9,14,15,12,0,6,1,0
22,0,37,7,8,6,27,15,16,18,6,7,8,9,27,15,16,18,3,15,1,0
52,0,25,7,8,0,12,14,15,15,6,7,8,3,12,14,15,15,6,9,1,0
111,0,28,8,9,6,15,14,15,12,0,8,9,9,15,14,15,15,3,12,1,0
37,0,36,7,8,0,12,13,14,24,3,7,8,6,12,13,14,24,3,9,1,0
76,0,36,9,10,12,24,15,16,15,0,8,9,9,15,15,16,15,0,12,1,0
27,0,30,8,9,9,21,14,15,15,0,8,9,12,21,14,15,18,6,15,1,0
19,0,32,8,9,6,18,13,14,30,12,8,9,9,18,13,14,30,12,15,1,0
122,0,30,7,8,0,15,14,15,15,3,7,8,0,15,15,16,9,0,9,1,0
111,0,36,7,8,9,27,14,15,18,9,7,8,9,27,14,15,18,9,12,0,0
87,0,31,8,9,3,12,14,15,21,3,8,9,6,12,15,16,9,3,9,1,0
95,0,33,7,8,0,15,14,15,12,0,7,8,0,15,14,15,12,0,9,0,0
6,0,31,8,9,15,24,14,15,18,12,7,8,6,18,14,15,18,12,15,1,0
25,0,29,8,9,15,24,13,14,18,3,8,9,15,24,13,14,18,6,18,1,0
69,0,32,8,9,12,24,14,15,18,9,7,8,0,15,15,16,12,0,12,1,0
20,0,33,8,9,6,18,13,14,18,6,8,9,6,18,13,14,18,6,15,0,0
4,0,34,7,8,3,21,14,15,18,6,7,8,6,21,15,16,9,0,9,1,0
86,0,28,8,9,6,21,13,14,21,3,8,9,6,21,13,14,21,9,18,1,0
4,0,37,7,8,12,30,16,17,18,9,5,6,12,18,16,17,18,9,15,0,1
127,0,30,8,9,9,21,13,14,27,0,8,9,12,21,13,14,27,0,12,1,0
32,0,27,9,10,9,27,13,14,27,0,9,10,12,30,13,14,27,6,15,1,0
42,0,37,8,9,18,27,15,16,24,12,8,9,18,27,15,16,24,12,18,0,0
86,0,34,8,9,15,24,13,14,30,15,8,9,18,24,13,14,30,15,18,1,0
123,0,28,8,9,9,18,14,15,15,9,8,9,12,18,14,15,18,9,15,1,0
61,0,30,9,10,0,27,14,15,21,9,9,10,0,27,14,15,21,9,15,0,0
100,0,28,8,9,9,21,14,15,15,6,8,9,9,21,14,15,15,9,15,1,0
32,0,37,5,6,12,15,16,17,12,0,5,6,9,15,16,17,15,6,12,1,0
109,0,33,7,8,6,18,14,15,15,0,7,8,6,18,14,15,15,0,12,0,0
105,0,25,7,8,0,18,13,14,21,9,7,8,3,18,14,15,12,6,12,1,0
72,0,29,8,9,12,24,13,14,24,0,7,8,3,15,13,14,24,0,12,1,0
42,0,33,8,9,0,21,13,14,18,15,8,9,9,21,13,14,18,15,18,0,1
65,0,36,7,8,6,24,14,15,18,9,7,8,9,24,14,15,15,12,15,1,0
120,0,37,5,6,12,18,16,17,15,9,5,6,12,18,16,17,18,9,15,1,0
29,0,33,8,9,9,18,15,16,15,0,8,9,9,18,15,16,15,0,15,0,0
66,0,33,8,9,12,18,13,14,24,6,8,9,12,18,13,14,27,6,15,1,0
2,0,34,7,8,3,18,14,15,15,3,7,8,6,18,14,15,15,3,12,1,0
103,0,34,7,8,9,21,14,15,15,6,7,8,9,21,14,15,15,6,15,0,0
127,0,26,9,10,18,33,12,13,36,0,9,10,18,33,12,13,36,3,18,1,0
1,0,36,7,8,6,21,15,16,15,0,7,8,6,24,15,16,15,3,15,1,0
53,0,26,9,10,15,21,13,14,21,9,8,9,3,18,13,14,21,12,15,1,0
32,0,26,9,10,12,27,13,14,24,12,9,10,12,27,14,15,15,6,12,1,0
75,0,30,9,10,15,24,13,14,24,9,9,10,15,24,13,14,24,12,18,1,0
117,0,27,8,9,18,27,13,14,21,9,8,9,18,27,13,14,24,6,18,1,0
10,0,28,8,9,15,24,13,14,27,9,8,9,15,24,13,14,27,12,15,1,0
19,0,34,8,9,12,18,13,14,21,6,8,9,12,21,13,14,21,6,15,1,0
9,0,26,8,9,9,24,13,14,21,0,7,8,0,12,15,16,9,0,9,1,1
4,0,33,7,8,3,15,14,15,15,9,7,8,6,15,15,16,12,6,12,1,0
70,0,35,7,8,0,18,14,15,15,9,7,8,3,18,14,15,15,9,15,1,0
4,0,28,9,10,12,24,13,14,27,12,9,10,12,27,13,14,27,12,21,1,0
97,0,32,9,10,12,27,14,15,12,0,8,9,12,15,14,15,15,6,12,1,0
27,0,30,8,9,9,21,14,15,15,0,8,9,12,21,14,15,18,6,15,1,0
14,0,35,7,8,6,24,15,16,15,0,7,8,9,27,15,16,18,0,12,1,0
79,0,30,8,9,12,21,14,15,12,0,7,8,0,15,14,15,12,0,12,1,0
6,0,34,7,8,6,21,13,14,27,3,7,8,9,21,13,14,27,0,12,1,0
8,0,35,8,9,15,27,15,16,18,6,7,8,0,18,15,16,18,9,15,1,0
13,0,29,7,8,3,18,15,16,6,0,6,7,3,9,15,16,9,0,6,1,0
70,0,36,7,8,15,27,14,15,15,6,7,8,15,27,14,15,18,9,15,1,0
4,0,28,9,10,12,24,13,14,27,12,9,10,12,27,13,14,27,12,21,1,0
57,0,37,5,6,12,15,16,17,12,3,5,6,12,15,16,17,15,3,12,1,0
116,0,31,7,8,0,18,13,14,27,12,7,8,9,18,13,14,27,12,15,0,1
106,0,34,7,8,9,24,13,14,21,12,7,8,12,24,13,14,21,15,18,1,0
36,0,35,7,8,0,18,15,16,15,0,7,8,6,18,15,16,18,6,15,1,0
115,0,29,7,8,6,18,13,14,27,6,7,8,6,18,14,15,12,9,12,1,0
39,0,32,8,9,6,18,12,13,42,12,8,9,9,18,13,14,15,9,15,1,0
23,0,28,8,9,6,18,13,14,27,0,8,9,12,18,13,14,27,6,12,1,0
107,0,34,7,8,6,21,14,15,21,9,7,8,9,21,14,15,21,12,18,1,0
61,0,35,7,8,0,15,15,16,9,0,7,8,0,15,21,22,3,0,3,0,1
43,0,25,9,10,15,27,12,13,27,15,9,10,15,27,12,13,27,18,21,1,0
105,0,25,7,8,0,18,13,14,21,9,7,8,3,18,14,15,12,6,12,1,0
111,0,26,9,10,15,27,13,14,21,3,9,10,15,27,13,14,21,6,18,1,0
43,0,26,10,11,6,54,13,14,24,12,10,11,6,54,13,14,24,15,24,1,0
68,0,28,8,9,9,18,14,15,15,6,8,9,9,21,14,15,15,3,15,1,0
112,0,25,8,9,12,18,12,13,39,12,8,9,15,18,12,13,39,12,15,1,0
46,0,31,8,9,0,18,13,14,18,0,8,9,0,18,13,14,18,0,12,0,0
45,0,28,9,10,3,15,14,15,15,6,9,10,6,15,14,15,15,6,12,1,0
123,0,34,7,8,9,21,14,15,15,6,7,8,12,21,14,15,15,9,15,1,0
11,0,29,8,9,15,27,14,15,15,3,8,9,15,27,14,15,18,6,15,1,0
42,0,32,9,10,18,30,13,14,24,12,9,10,18,30,13,14,24,12,18,0,0
18,0,33,8,9,12,21,12,13,30,15,8,9,12,21,13,14,18,6,18,1,0
108,0,36,7,8,15,30,14,15,18,6,7,8,15,30,14,15,18,6,18,0,0
69,0,35,7,8,0,18,15,16,15,0,7,8,0,18,15,16,15,0,12,0,0
90,0,30,8,9,9,18,13,14,21,6,8,9,9,18,13,14,21,6,12,0,0
57,0,25,9,10,15,21,13,14,21,6,8,9,9,18,13,14,21,9,15,1,0
50,0,34,7,8,0,18,14,15,18,6,7,8,6,18,14,15,18,9,15,1,0
48,0,35,8,9,15,24,14,15,15,6,8,9,15,24,14,15,18,3,15,1,0
2,0,36,7,8,9,24,14,15,15,0,7,8,9,24,14,15,15,0,12,0,0
71,0,37,7,8,18,30,15,16,18,12,7,8,18,30,15,16,18,12,18,0,0
63,0,32,7,8,3,9,14,15,18,0,7,8,3,12,19,20,3,0,3,1,1
56,0,25,9,10,6,30,14,15,15,0,9,10,9,30,14,15,15,0,12,1,0
76,0,30,8,9,9,18,14,15,9,3,7,8,0,12,15,16,9,0,9,1,0
75,0,29,9,10,0,27,14,15,12,0,9,10,3,27,14,15,15,0,12,1,0
8,0,29,8,9,12,21,14,15,18,6,8,9,12,21,14,15,18,12,18,1,0
1,0,37,7,8,0,27,18,19,6,0,5,6,0,9,18,19,9,0,6,1,1
9,0,31,7,8,0,15,15,16,15,0,7,8,0,15,15,16,15,3,12,1,0
103,0,35,7,8,0,18,15,16,12,0,7,8,6,18,15,16,12,0,12,1,0
25,0,36,7,8,15,27,14,15,21,12,6,7,9,18,14,15,21,12,15,1,0
72,0,37,7,8,18,27,15,16,21,6,7,8,18,30,15,16,18,12,18,1,0
126,0,28,9,10,9,21,13,14,27,6,9,10,15,21,13,14,27,3,15,1,0
57,0,31,9,10,15,33,14,15,18,6,9,10,15,33,14,15,18,9,18,1,0
115,0,31,7,8,3,18,14,15,9,0,7,8,6,18,14,15,12,0,9,1,0
104,0,30,8,9,9,21,14,15,15,0,8,9,12,21,14,15,15,3,12,1,0
44,0,34,7,8,0,18,14,15,15,6,7,8,6,18,14,15,15,12,15,1,0
110,0,33,7,8,6,21,14,15,21,12,7,8,6,21,14,15,21,15,18,1,0
34,0,32,9,10,15,27,14,15,15,9,9,10,15,27,14,15,15,12,15,1,0
1,0,37,7,8,0,27,18,19,6,0,5,6,0,9,18,19,9,0,6,1,1
20,0,37,6,7,9,12,16,17,12,0,7,8,9,24,16,17,12,6,9,1,0
55,0,30,7,8,0,15,14,15,15,6,7,8,0,15,14,15,15,6,12,0,0
89,0,26,9,10,6,21,14,15,15,3,8,9,0,9,14,15,15,3,6,1,0
37,0,26,9,10,9,27,13,14,21,0,9,10,12,27,13,14,21,6,12,1,0
107,0,33,7,8,3,18,15,16,15,0,7,8,0,18,15,16,12,0,12,1,0
1,0,36,7,8,6,21,15,16,15,0,7,8,6,24,15,16,15,3,15,1,0
4,0,26,7,8,0,9,15,16,6,0,5,6,3,6,22,23,3,0,3,0,1
77,0,36,7,8,9,27,14,15,18,6,7,8,9,27,14,15,18,3,12,1,0
64,0,32,7,8,0,9,14,15,12,0,7,8,6,9,14,15,15,0,6,1,0
127,0,35,7,8,0,15,15,16,12,0,7,8,0,15,15,16,12,6,12,1,0
59,0,34,7,8,0,21,14,15,21,12,7,8,6,21,14,15,21,12,18,1,0
86,0,34,8,9,15,24,13,14,30,15,8,9,18,24,13,14,30,15,18,1,0
1,0,29,9,10,15,27,14,15,15,6,9,10,15,27,14,15,15,9,15,1,0
12,0,32,7,8,6,18,15,16,12,0,6,7,0,9,15,16,12,3,6,1,0
85,0,31,8,9,9,15,14,15,21,0,8,9,12,15,14,15,21,6,12,1,0
92,0,28,8,9,15,24,14,15,15,6,7,8,6,18,14,15,15,9,15,1,0
112,0,33,8,9,15,24,13,14,30,9,8,9,15,21,13,14,30,12,15,1,0
58,0,31,7,8,0,15,13,14,27,6,7,8,6,15,13,14,27,9,12,1,0
45,0,25,8,9,9,15,13,14,27,9,8,9,12,15,13,14,27,9,12,1,0
101,0,32,8,9,9,18,14,15,18,6,8,9,12,21,14,15,18,9,15,1,0
37,0,25,9,10,9,24,13,14,24,9,9,10,12,24,14,15,12,0,12,1,0
49,0,34,7,8,6,24,13,14,30,15,7,8,9,24,14,15,18,0,18,1,0
17,0,31,7,8,3,15,14,15,15,0,7,8,6,15,14,15,18,6,12,1,0
70,0,26,9,10,18,21,13,14,21,12,9,10,18,21,13,14,21,9,18,1,0
38,0,37,4,5,6,9,16,17,6,0,5,6,6,15,16,17,9,0,6,1,0
103,0,36,6,7,6,15,14,15,18,3,6,7,9,15,14,15,21,9,12,1,0
112,0,27,8,9,12,24,12,13,42,18,8,9,12,24,12,13,42,18,21,0,0
37,0,33,9,10,18,30,14,15,21,6,8,9,12,21,14,15,21,9,18,1,0
53,0,25,10,11,12,45,13,14,27,12,10,11,15,45,13,14,27,12,15,1,0
82,0,27,9,10,9,30,13,14,18,0,9,10,9,30,13,14,18,3,15,1,0
44,0,36,7,8,6,21,14,15,24,9,7,8,6,21,14,15,24,12,15,1,0
35,0,31,7,8,3,15,15,16,9,0,7,8,6,15,15,16,12,6,9,1,0
111,0,36,7,8,9,27,14,15,18,9,7,8,9,27,14,15,18,9,12,0,0
36,0,28,8,9,3,21,15,16,9,0,6,7,0,9,15,16,9,0,6,0,1
12,0,25,7,8,0,12,14,15,12,0,7,8,3,12,14,15,12,0,9,1,0
85,0,26,8,9,9,21,14,15,12,0,8,9,9,24,14,15,15,6,12,1,0
43,0,36,8,9,15,21,14,15,24,12,8,9,15,21,14,15,27,15,18,1,0
59,0,31,7,8,0,15,0,0,0,0,3,4,0,3,0,0,0,0,0,0,1
76,0,25,8,9,6,21,14,15,18,3,8,9,6,21,14,15,18,0,15,1,0
25,0,33,7,8,3,15,15,16,12,0,7,8,6,15,15,16,12,0,6,1,0
21,0,27,7,8,0,12,14,15,6,3,7,8,0,12,15,16,6,0,6,1,0
9,0,33,8,9,12,27,15,16,15,0,8,9,12,27,15,16,15,0,15,0,0
70,0,27,8,9,12,24,14,15,12,0,8,9,12,24,13,14,24,9,12,1,0
85,0,36,7,8,12,24,14,15,21,9,7,8,15,27,14,15,21,9,18,1,0
123,0,28,8,9,9,18,14,15,15,9,8,9,12,18,14,15,18,9,15,1,0
42,0,33,8,9,0,21,13,14,18,15,8,9,9,21,13,14,18,15,18,0,1
15,0,34,7,8,9,21,13,14,18,9,7,8,9,21,14,15,12,3,12,1,0
29,0,27,8,9,0,18,15,16,9,0,8,9,3,18,15,16,12,0,6,1,0
10,0,30,8,9,9,21,13,14,15,0,8,9,9,21,13,14,18,0,9,1,0
62,0,26,8,9,12,15,14,15,15,3,9,10,15,21,14,15,18,0,15,1,0
30,0,37,7,8,15,21,16,17,18,12,7,8,15,21,16,17,18,12,15,0,0
24,0,35,9,10,15,30,14,15,15,12,9,10,15,30,15,16,15,6,15,1,0
70,0,36,7,8,15,27,14,15,15,6,7,8,15,27,14,15,18,9,15,1,0
100,0,34,7,8,0,21,14,15,12,6,7,8,6,21,15,16,9,0,9,1,0
85,0,37,7,8,15,30,14,15,27,15,7,8,15,30,15,16,18,9,18,1,0
76,0,31,8,9,0,18,14,15,9,6,8,9,0,18,15,16,12,0,9,1,0
2,0,27,7,8,0,12,14,15,6,0,7,8,6,15,14,15,12,0,6,1,0
19,0,31,8,9,6,18,14,15,15,6,8,9,9,18,14,15,15,6,12,1,0
85,0,35,7,8,0,18,14,15,12,0,7,8,3,18,14,15,12,6,12,1,0
89,0,35,7,8,0,21,13,14,27,9,7,8,6,21,15,16,12,6,12,1,1
47,0,35,7,8,0,15,14,15,12,6,7,8,0,15,13,14,27,9,12,1,0
107,0,26,7,8,0,12,14,15,12,0,8,9,12,18,14,15,12,0,12,1,0
95,0,30,8,9,9,24,13,14,24,12,8,9,9,24,13,14,24,12,18,0,0
76,0,25,8,9,6,21,14,15,18,3,8,9,6,21,14,15,18,0,15,1,0
94,0,28,8,9,9,21,13,14,21,9,8,9,12,21,14,15,12,0,12,1,0
16,0,25,7,8,0,15,14,15,15,6,7,8,6,15,14,15,15,9,12,1,0
90,0,37,7,8,15,30,16,17,15,9,5,6,9,18,16,17,18,12,15,1,1
24,0,33,8,9,9,24,14,15,18,9,8,9,12,24,14,15,18,9,15,1,0
79,0,34,8,9,15,24,14,15,15,6,7,8,9,18,14,15,15,9,15,1,0
9,0,32,7,8,0,18,15,16,9,0,7,8,3,18,15,16,9,0,9,1,0
109,0,31,8,9,12,21,14,15,15,0,8,9,12,21,14,15,15,0,12,0,0
94,0,30,7,8,0,15,14,15,12,0,7,8,0,15,14,15,12,6,12,1,0
63,0,27,8,9,12,21,13,14,24,12,8,9,12,21,13,14,27,15,18,1,0
85,0,29,8,9,9,21,13,14,24,0,8,9,9,21,13,14,24,6,15,1,0
38,0,33,7,8,0,15,14,15,15,0,7,8,3,15,14,15,15,3,12,1,0
41,0,34,8,9,12,18,14,15,24,9,8,9,12,18,15,16,12,6,12,1,0
123,0,35,7,8,0,18,15,16,18,0,7,8,6,21,15,16,18,6,15,1,0
55,0,28,7,8,0,9,15,16,6,0,7,8,0,12,15,16,9,0,6,1,0
51,0,34,7,8,6,21,13,14,30,3,7,8,9,21,13,14,30,9,12,1,0
53,0,32,8,9,12,21,13,14,24,12,8,9,15,21,13,14,24,9,15,1,0
85,0,28,9,10,12,21,13,14,18,9,9,10,15,21,13,14,18,9,15,1,0
5,0,28,8,9,12,24,14,15,15,6,7,8,6,15,14,15,18,9,12,1,0
45,0,29,8,9,0,15,15,16,9,0,8,9,6,15,15,16,12,0,9,1,0
