channel,angle,window,exp_f1_left,exp_f2_left,exp_L1_left,exp_L2_left,exp_f1_right,exp_f2_right,exp_L1_right,exp_L2_right,act_f1_left,act_f2_left,act_L1_left,act_L2_left,act_f1_right,act_f2_right,act_L1_right,act_L2_right,abs_threshold,warning,error
31,0,14,6,7,0,24,13,14,30,15,6,7,0,24,13,14,30,15,21,0,0
110,0,13,6,7,0,33,13,14,30,18,6,7,6,33,13,14,30,18,27,1,0
115,0,13,6,7,12,33,13,14,33,12,6,7,15,33,13,14,33,12,21,1,0
11,0,12,8,9,18,48,13,14,27,15,8,9,18,48,13,14,27,15,24,0,0
53,0,13,7,8,24,33,13,14,33,21,7,8,24,33,13,14,33,24,30,1,0
19,0,12,6,7,0,33,13,14,33,21,6,7,6,33,13,14,33,21,30,1,0
50,0,14,8,9,18,42,13,14,27,18,8,9,18,42,13,14,27,18,24,0,0
32,0,11,6,7,9,45,13,14,36,33,6,7,9,45,13,14,36,33,36,0,0
23,0,11,6,7,0,33,14,15,30,15,6,7,0,33,14,15,30,15,30,0,0
93,0,11,7,8,36,42,14,15,36,27,6,7,18,39,14,15,36,27,36,1,0
97,0,13,6,7,6,33,13,14,30,27,6,7,9,33,14,15,30,21,30,1,0
69,0,15,6,7,0,33,13,14,21,15,6,7,0,33,13,14,21,15,18,0,0
32,0,13,8,9,24,45,14,15,24,12,8,9,24,45,14,15,24,12,24,0,0
112,0,11,6,7,15,36,14,15,33,30,6,7,15,36,14,15,33,30,33,0,0
96,0,11,6,7,18,42,15,16,33,30,6,7,18,42,15,16,33,30,33,0,0
92,0,11,7,8,42,48,12,13,57,30,7,8,42,48,14,15,42,33,42,0,1
50,0,12,6,7,9,33,13,14,33,27,6,7,9,36,13,14,33,27,30,1,0
2,0,11,6,7,15,33,14,15,33,24,6,7,15,33,14,15,33,24,30,0,0
78,0,14,7,8,21,30,13,14,33,18,7,8,21,30,13,14,33,18,21,0,0
59,0,12,6,7,9,30,14,15,30,18,6,7,12,30,14,15,30,18,24,1,0
103,0,14,6,7,9,36,13,14,30,18,6,7,12,36,13,14,30,18,24,1,0
73,0,13,6,7,0,30,14,15,33,18,6,7,3,30,14,15,33,18,27,1,0
81,0,12,6,7,15,39,13,14,42,27,6,7,15,39,13,14,42,27,36,0,0
61,0,15,6,7,0,27,14,15,21,15,6,7,6,27,14,15,21,15,21,1,0
126,0,14,6,7,9,33,14,15,24,15,6,7,9,33,14,15,27,15,24,1,0
94,0,11,6,7,15,45,13,14,42,33,6,7,15,45,13,14,42,33,42,0,0
21,0,12,7,8,30,33,13,14,33,21,7,8,30,33,13,14,33,21,30,0,0
116,0,15,6,7,9,27,16,17,18,0,6,7,12,27,16,17,18,0,18,1,0
52,0,11,6,7,12,42,14,15,42,30,6,7,15,42,14,15,42,30,33,1,0
66,0,11,6,7,0,42,14,15,39,24,6,7,6,42,14,15,39,24,39,1,0
81,0,15,6,7,6,33,14,15,27,6,6,7,6,33,14,15,27,9,18,1,0
48,0,12,8,9,30,48,13,14,33,30,8,9,30,48,13,14,33,30,33,0,0
5,0,14,6,7,6,24,16,17,18,0,6,7,9,21,16,17,18,6,15,1,0
36,0,15,6,7,9,24,16,17,18,0,6,7,9,24,16,17,18,3,15,1,0
108,0,11,7,8,30,42,14,15,36,30,7,8,30,42,15,16,33,27,33,1,0
3,0,11,6,7,12,33,14,15,30,15,6,7,12,33,14,15,30,15,24,0,0
113,0,13,7,8,27,36,14,15,30,15,7,8,27,36,14,15,30,15,30,0,0
4,0,11,6,7,0,39,12,13,45,21,6,7,0,39,12,13,45,21,27,0,0
70,0,11,6,7,18,42,14,15,39,9,6,7,18,45,14,15,39,12,36,1,0
9,0,14,7,8,18,27,16,17,21,3,7,8,18,27,16,17,21,3,18,0,0
59,0,11,7,8,21,36,14,15,36,27,7,8,21,36,14,15,36,27,33,0,0
10,0,11,8,9,21,51,14,15,30,18,8,9,24,51,14,15,30,18,24,1,0
113,0,12,7,8,36,39,12,13,42,33,7,8,36,39,12,13,42,33,36,0,0
111,0,15,6,7,12,30,16,17,27,6,6,7,12,30,16,17,27,9,24,1,0
110,0,12,8,9,24,54,14,15,33,24,8,9,27,54,14,15,33,24,27,1,0
44,0,15,7,8,24,30,12,13,27,21,7,8,24,33,12,13,27,21,24,1,0
66,0,11,6,7,0,42,14,15,39,24,6,7,6,42,14,15,39,24,39,1,0
109,0,12,8,9,24,57,14,15,33,24,8,9,24,57,14,15,33,24,33,0,0
20,0,13,6,7,0,30,14,15,27,9,6,7,0,30,14,15,27,12,21,1,0
13,0,13,6,7,0,27,16,17,21,0,6,7,0,27,16,17,21,3,18,1,0
120,0,12,6,7,9,36,13,14,36,27,6,7,12,36,13,14,36,27,33,1,0
59,0,11,7,8,21,36,14,15,36,27,7,8,21,36,14,15,36,27,33,0,0
123,0,15,6,7,0,33,12,13,27,21,6,7,9,33,12,13,27,21,24,0,1
44,0,11,6,7,18,36,14,15,36,27,6,7,18,36,14,15,36,27,33,0,0
68,0,15,6,7,0,33,14,15,21,6,6,7,3,33,14,15,21,12,18,1,0
4,0,11,6,7,0,39,12,13,45,21,6,7,0,39,12,13,45,21,27,0,0
107,0,15,6,7,9,33,16,17,21,3,6,7,9,33,16,17,21,9,18,1,0
23,0,11,6,7,0,33,14,15,30,15,6,7,0,33,14,15,30,15,30,0,0
55,0,11,8,9,18,54,14,15,36,30,8,9,21,54,14,15,36,30,33,1,0
52,0,11,6,7,12,42,14,15,42,30,6,7,15,42,14,15,42,30,33,1,0
4,0,11,6,7,0,39,12,13,45,21,6,7,0,39,12,13,45,21,27,0,0
44,0,11,6,7,18,36,14,15,36,27,6,7,18,36,14,15,36,27,33,0,0
115,0,12,6,7,0,42,13,14,36,30,6,7,6,42,13,14,36,30,36,1,0
58,0,15,6,7,0,24,16,17,18,0,6,7,0,24,16,17,18,0,15,0,0
61,0,11,7,8,27,36,14,15,39,18,7,8,27,36,14,15,39,18,27,0,0
121,0,14,7,8,27,30,12,13,45,18,7,8,27,33,12,13,45,21,27,1,0
97,0,12,6,7,12,33,15,16,27,24,6,7,12,33,15,16,27,24,27,0,0
32,0,11,6,7,9,45,13,14,36,33,6,7,9,45,13,14,36,33,36,0,0
67,0,13,6,7,0,30,14,15,27,15,6,7,0,33,14,15,27,18,27,1,0
91,0,14,6,7,9,30,13,14,33,21,6,7,12,30,13,14,33,21,27,1,0
48,0,12,8,9,30,48,13,14,33,30,8,9,30,48,13,14,33,30,33,0,0
19,0,13,6,7,3,30,14,15,24,12,6,7,6,30,14,15,24,12,24,1,0
105,0,13,6,7,0,33,14,15,30,18,6,7,3,33,14,15,30,18,27,1,0
5,0,11,6,7,9,30,14,15,30,21,6,7,12,30,14,15,30,21,24,1,0
118,0,11,6,7,24,42,13,14,42,24,6,7,27,42,13,14,42,24,30,1,0
123,0,15,6,7,0,33,12,13,27,21,6,7,9,33,12,13,27,21,24,0,1
58,0,13,6,7,0,27,14,15,27,12,6,7,6,27,14,15,27,12,24,1,0
76,0,11,6,7,15,33,14,15,45,24,6,7,15,33,14,15,45,24,27,0,0
26,0,11,6,7,0,33,13,14,39,21,6,7,3,33,13,14,39,21,27,1,0
84,0,12,6,7,15,39,14,15,33,21,6,7,15,39,14,15,33,21,30,0,0
98,0,12,7,8,30,36,14,15,33,9,7,8,30,36,14,15,33,12,33,1,0
10,0,11,8,9,21,51,14,15,30,18,8,9,24,51,14,15,30,18,24,1,0
66,0,15,6,7,0,30,13,14,24,12,6,7,3,30,13,14,24,12,24,1,0
14,0,13,7,8,24,33,13,14,27,18,7,8,24,33,13,14,27,21,24,1,0
106,0,15,8,9,18,27,16,17,21,6,8,9,18,27,16,17,21,6,21,0,0
29,0,11,6,7,0,33,15,16,30,24,6,7,0,33,15,16,30,24,27,0,0
45,0,11,6,7,12,36,13,14,39,27,6,7,15,36,13,14,39,27,33,1,0
111,0,15,6,7,12,30,16,17,27,6,6,7,12,30,16,17,27,9,24,1,0
1,0,14,6,7,0,24,12,13,30,12,6,7,9,27,12,13,30,15,21,1,1
102,0,12,6,7,15,39,14,15,33,24,6,7,15,39,14,15,33,24,30,0,0
74,0,15,6,7,0,30,14,15,24,0,6,7,0,30,14,15,24,0,24,0,0
38,0,12,6,7,6,33,14,15,30,18,6,7,9,33,14,15,30,18,27,1,0
73,0,11,8,9,36,54,12,13,54,33,8,9,36,54,12,13,54,33,42,0,0
28,0,15,8,9,18,36,16,17,21,0,8,9,21,36,16,17,21,9,21,1,1
80,0,11,7,8,30,45,14,15,36,18,7,8,30,45,14,15,36,18,36,0,0
108,0,12,6,7,12,39,14,15,36,24,6,7,15,39,14,15,36,24,27,1,0
41,0,15,6,7,0,33,16,17,18,0,6,7,6,33,16,17,18,6,18,1,0
121,0,11,6,7,24,42,14,15,36,30,6,7,24,42,14,15,36,30,33,0,0
111,0,15,6,7,12,30,16,17,27,6,6,7,12,30,16,17,27,9,24,1,0
116,0,12,6,7,18,42,12,13,36,30,6,7,18,42,12,13,36,30,33,0,0
102,0,11,6,7,18,45,13,14,45,30,6,7,18,45,13,14,45,30,36,0,0
96,0,11,6,7,18,42,15,16,33,30,6,7,18,42,15,16,33,30,33,0,0
119,0,14,7,8,27,36,13,14,33,21,7,8,27,36,13,14,33,21,30,0,0
5,0,14,6,7,6,24,16,17,18,0,6,7,9,21,16,17,18,6,15,1,0
77,0,12,6,7,15,36,14,15,33,21,6,7,15,36,14,15,33,21,30,0,0
84,0,14,6,7,0,30,14,15,24,15,6,7,0,30,14,15,24,15,21,0,0
93,0,15,7,8,15,24,15,16,21,18,7,8,18,24,15,16,21,18,21,1,0
125,0,14,7,8,21,33,14,15,24,15,7,8,21,33,14,15,24,12,24,1,0
9,0,12,6,7,9,30,16,17,21,0,6,7,12,30,16,17,21,6,15,1,0
112,0,15,7,8,15,24,16,17,21,0,7,8,15,24,16,17,21,6,21,1,0
106,0,11,6,7,15,45,13,14,39,33,6,7,18,45,13,14,39,33,39,1,0
58,0,12,6,7,0,33,13,14,36,15,6,7,6,33,13,14,36,15,27,1,0
28,0,13,6,7,0,24,14,15,24,15,6,7,3,24,14,15,24,15,21,1,0
122,0,11,6,7,24,48,14,15,36,30,6,7,24,48,14,15,36,30,36,0,0
13,0,13,6,7,0,27,16,17,21,0,6,7,0,27,16,17,21,3,18,1,0
26,0,13,6,7,0,30,16,17,21,3,6,7,0,30,13,14,24,15,21,0,1
80,0,15,6,7,9,30,12,13,30,3,6,7,12,30,12,13,30,3,21,1,0
86,0,15,6,7,6,27,13,14,24,18,6,7,6,27,16,17,21,6,21,0,1
126,0,15,6,7,0,30,13,14,27,12,6,7,6,30,13,14,27,9,18,1,0
119,0,15,6,7,0,36,16,17,15,0,6,7,6,36,16,17,18,3,15,1,0
40,0,12,8,9,39,51,13,14,39,24,8,9,39,51,13,14,39,24,39,0,0
17,0,12,6,7,6,30,13,14,27,18,6,7,9,30,13,14,27,21,27,1,0
93,0,13,6,7,9,27,14,15,30,15,6,7,12,27,14,15,30,15,21,1,0
89,0,13,6,7,6,39,14,15,30,12,6,7,9,39,14,15,30,15,24,1,0
59,0,15,7,8,18,24,14,15,21,6,7,8,18,24,14,15,24,9,18,1,0
59,0,13,7,8,27,33,12,13,33,21,7,8,27,33,12,13,33,21,27,0,0
8,0,12,6,7,3,27,13,14,24,21,6,7,6,27,13,14,24,21,24,1,0
81,0,13,7,8,30,36,14,15,30,15,7,8,30,36,14,15,30,12,30,1,0
14,0,12,6,7,3,30,14,15,24,18,6,7,6,33,15,16,21,18,21,1,0
72,0,12,6,7,15,33,14,15,30,18,6,7,15,33,14,15,30,21,30,1,0
36,0,14,6,7,0,30,14,15,21,18,6,7,0,30,14,15,21,18,21,0,0
79,0,11,6,7,12,42,13,14,45,33,6,7,12,42,13,14,45,33,39,0,0
10,0,14,6,7,0,27,15,16,12,9,6,7,0,27,14,15,15,9,12,1,0
10,0,12,7,8,21,27,14,15,24,12,7,8,21,27,14,15,24,12,24,0,0
14,0,12,6,7,3,30,14,15,24,18,6,7,6,33,15,16,21,18,21,1,0
22,0,13,8,9,18,45,13,14,24,15,8,9,21,45,13,14,24,15,21,1,0
38,0,14,6,7,6,33,14,15,21,15,6,7,6,33,14,15,21,15,18,0,0
51,0,11,7,8,36,42,14,15,39,24,7,8,36,42,14,15,39,24,36,0,0
31,0,13,7,8,9,27,16,17,18,0,7,8,9,27,16,17,21,3,15,1,0
3,0,13,6,7,6,24,14,15,21,12,6,7,6,21,14,15,24,12,15,1,0
98,0,13,6,7,12,36,12,13,51,18,6,7,12,36,12,13,51,21,24,1,0
127,0,15,7,8,12,27,12,13,33,15,7,8,15,27,13,14,18,6,18,1,0
79,0,14,8,9,24,39,13,14,33,21,8,9,24,39,13,14,33,21,24,0,0
15,0,11,6,7,6,39,13,14,42,27,6,7,12,39,13,14,42,27,33,1,0
91,0,11,8,9,45,60,14,15,45,33,8,9,45,60,14,15,45,33,45,0,0
125,0,15,6,7,6,30,13,14,21,18,6,7,12,30,14,15,21,12,21,1,0
92,0,15,6,7,9,27,13,14,27,12,6,7,9,27,13,14,27,9,21,1,0
19,0,12,6,7,0,33,13,14,33,21,6,7,6,33,13,14,33,21,30,1,0
93,0,12,8,9,27,45,14,15,36,21,8,9,27,48,14,15,36,21,36,1,0
59,0,11,7,8,21,36,14,15,36,27,7,8,21,36,14,15,36,27,33,0,0
72,0,13,6,7,0,30,14,15,30,15,6,7,6,30,14,15,30,15,24,1,0
8,0,12,6,7,3,27,13,14,24,21,6,7,6,27,13,14,24,21,24,1,0
64,0,13,8,9,24,39,12,13,45,18,8,9,24,39,12,13,45,18,24,0,0
83,0,11,6,7,15,48,15,16,30,24,6,7,15,48,15,16,30,24,30,0,0
107,0,14,6,7,6,33,16,17,21,6,6,7,9,33,16,17,21,6,21,1,0
52,0,12,6,7,12,36,14,15,27,15,6,7,12,36,14,15,30,15,27,1,0
24,0,15,6,7,0,18,14,15,18,6,6,7,0,18,14,15,18,6,15,0,0
2,0,13,7,8,18,21,14,15,27,15,7,8,18,21,14,15,27,12,18,1,0
43,0,13,7,8,27,33,13,14,27,24,7,8,27,33,13,14,27,24,27,0,0
91,0,12,7,8,27,33,13,14,39,24,7,8,27,33,13,14,39,24,30,0,0
3,0,14,6,7,6,21,13,14,21,0,6,7,9,21,13,14,21,0,18,1,0
29,0,13,7,8,24,30,12,13,39,15,7,8,24,30,12,13,39,15,27,0,0
27,0,14,6,7,0,27,13,14,24,15,6,7,6,27,13,14,24,15,24,1,0
29,0,15,6,7,0,27,14,15,21,0,6,7,0,27,14,15,21,0,18,0,0
38,0,15,8,9,24,39,12,13,36,9,8,9,24,39,12,13,36,12,24,1,0
108,0,11,7,8,30,42,14,15,36,30,7,8,30,42,15,16,33,27,33,1,0
118,0,15,6,7,6,33,16,17,21,3,6,7,9,33,16,17,21,9,18,1,0
68,0,14,8,9,27,36,12,13,30,27,8,9,27,36,12,13,30,27,30,0,0
52,0,11,6,7,12,42,14,15,42,30,6,7,15,42,14,15,42,30,33,1,0
12,0,13,6,7,6,27,14,15,24,12,6,7,6,27,14,15,24,15,21,1,0
66,0,14,6,7,0,27,13,14,24,15,6,7,9,27,13,14,21,15,21,1,1
21,0,11,6,7,15,39,14,15,36,21,6,7,18,39,14,15,36,21,27,1,0
35,0,15,6,7,3,21,16,17,15,0,6,7,6,21,16,17,15,6,15,1,0
71,0,15,6,7,0,30,12,13,33,15,6,7,6,30,12,13,33,18,24,1,0
76,0,13,6,7,15,30,13,14,30,24,6,7,15,30,13,14,30,24,27,0,0
2,0,14,8,9,24,39,13,14,24,15,8,9,24,39,13,14,24,15,24,0,0
69,0,11,7,8,42,48,13,14,45,36,7,8,42,48,13,14,45,36,42,0,0
66,0,14,6,7,0,27,13,14,24,15,6,7,9,27,13,14,21,15,21,1,1
97,0,12,6,7,12,33,15,16,27,24,6,7,12,33,15,16,27,24,27,0,0
8,0,11,7,8,27,36,14,15,30,24,7,8,27,36,14,15,30,24,30,0,0
66,0,15,6,7,0,30,13,14,24,12,6,7,3,30,13,14,24,12,24,1,0
66,0,12,7,8,30,33,14,15,33,15,7,8,30,33,14,15,33,18,30,1,0
78,0,13,7,8,24,30,13,14,36,18,7,8,24,30,13,14,36,21,27,1,0
104,0,12,8,9,27,54,13,14,36,18,8,9,27,54,13,14,36,18,33,0,0
58,0,11,9,10,36,57,14,15,36,18,7,8,30,39,14,15,36,18,36,0,1
28,0,14,8,9,21,42,12,13,39,21,8,9,21,42,12,13,39,21,24,0,0
76,0,13,6,7,15,30,13,14,30,24,6,7,15,30,13,14,30,24,27,0,0
87,0,15,7,8,21,27,16,17,21,6,7,8,21,27,16,17,21,6,21,0,0
1,0,12,7,8,27,33,14,15,30,6,6,7,6,30,14,15,30,6,27,1,0
23,0,13,7,8,18,30,14,15,18,12,7,8,18,30,14,15,18,12,18,0,0
86,0,11,7,8,27,42,14,15,42,9,7,8,27,42,14,15,42,12,33,1,0
121,0,15,6,7,6,30,14,15,21,12,6,7,9,30,14,15,24,15,21,1,0
93,0,13,6,7,9,27,14,15,30,15,6,7,12,27,14,15,30,15,21,1,0
55,0,12,7,8,30,39,14,15,30,18,7,8,30,39,14,15,30,18,30,0,0
32,0,12,8,9,27,42,14,15,33,24,8,9,27,42,14,15,33,24,30,0,0
4,0,14,6,7,3,27,16,17,18,0,6,7,6,27,16,17,18,6,18,1,0
29,0,13,7,8,24,30,12,13,39,15,7,8,24,30,12,13,39,15,27,0,0
113,0,15,6,7,9,27,13,14,21,15,6,7,9,27,13,14,21,15,21,0,0
121,0,14,7,8,27,30,12,13,45,18,7,8,27,33,12,13,45,21,27,1,0
97,0,11,6,7,0,42,14,15,39,33,6,7,6,42,14,15,39,33,39,1,0
11,0,14,6,7,0,27,13,14,21,6,6,7,6,27,13,14,21,9,18,1,0
97,0,12,6,7,12,33,15,16,27,24,6,7,12,33,15,16,27,24,27,0,0
5,0,12,6,7,9,30,14,15,27,12,6,7,12,30,14,15,27,12,21,1,0
63,0,13,8,9,12,45,13,14,30,21,8,9,12,45,13,14,30,21,27,0,0
122,0,12,6,7,15,33,14,15,33,18,6,7,15,33,14,15,33,18,30,0,0
101,0,12,6,7,12,30,14,15,30,18,6,7,15,30,14,15,30,18,24,1,0
13,0,13,6,7,0,27,16,17,21,0,6,7,0,27,16,17,21,3,18,1,0
1,0,11,6,7,6,33,13,14,33,21,6,7,6,33,13,14,33,21,27,0,0
60,0,12,6,7,9,36,15,16,27,24,6,7,12,36,15,16,27,24,27,1,0
26,0,15,6,7,0,24,16,17,24,6,6,7,6,24,16,17,24,6,18,1,0
76,0,14,6,7,12,33,12,13,42,21,6,7,12,33,12,13,42,21,24,0,0
64,0,12,6,7,9,30,14,15,33,18,6,7,9,30,14,15,33,18,27,0,0
112,0,14,8,9,30,45,13,14,30,18,8,9,30,45,13,14,33,21,30,1,0
6,0,14,6,7,3,30,16,17,15,0,6,7,9,30,16,17,18,6,15,1,0
13,0,12,6,7,3,33,13,14,27,21,6,7,9,33,14,15,24,9,24,1,0
93,0,11,7,8,36,42,14,15,36,27,6,7,18,39,14,15,36,27,36,1,0
67,0,15,6,7,0,30,16,17,21,6,6,7,3,30,16,17,24,9,18,1,0
78,0,12,6,7,9,33,12,13,51,21,6,7,9,33,12,13,51,21,30,0,0
123,0,14,6,7,9,33,14,15,21,9,6,7,12,33,14,15,21,9,18,1,0
77,0,13,8,9,24,45,14,15,24,18,8,9,24,45,14,15,24,15,24,1,0
88,0,11,6,7,15,51,13,14,42,36,6,7,18,51,13,14,42,36,39,1,0
23,0,12,6,7,0,30,14,15,27,15,6,7,6,30,14,15,27,15,21,1,0
91,0,13,7,8,27,33,14,15,30,18,7,8,27,33,14,15,30,18,30,0,0
22,0,14,6,7,0,18,14,15,18,6,6,7,6,18,14,15,18,9,15,1,0
21,0,15,6,7,6,24,12,13,27,0,6,7,9,24,16,17,21,6,21,1,1
82,0,12,8,9,33,51,13,14,36,12,8,9,33,51,13,14,36,12,33,0,0
21,0,14,6,7,3,18,16,17,18,0,6,7,9,18,16,17,18,3,15,1,0
94,0,11,6,7,15,45,13,14,42,33,6,7,15,45,13,14,42,33,42,0,0
56,0,15,6,7,9,30,16,17,12,0,6,7,9,30,16,17,12,0,12,0,0
53,0,14,7,8,24,27,14,15,24,15,7,8,24,27,14,15,24,15,24,0,0
95,0,11,6,7,12,45,14,15,39,24,6,7,15,45,14,15,39,27,36,1,0
79,0,14,8,9,24,39,13,14,33,21,8,9,24,39,13,14,33,21,24,0,0
119,0,14,7,8,27,36,13,14,33,21,7,8,27,36,13,14,33,21,30,0,0
30,0,14,8,9,9,42,13,14,27,18,8,9,9,42,13,14,27,18,24,0,0
61,0,12,6,7,0,33,14,15,33,12,6,7,0,33,14,15,33,15,30,1,0
25,0,12,6,7,6,33,15,16,21,15,6,7,9,33,15,16,24,15,21,1,0
113,0,14,6,7,0,36,16,17,18,3,6,7,6,36,16,17,18,6,18,1,0
52,0,15,8,9,12,36,13,14,27,15,8,9,12,36,13,14,27,15,21,0,0
113,0,13,7,8,27,36,14,15,30,15,7,8,27,36,14,15,30,15,30,0,0
99,0,11,6,7,12,45,14,15,45,15,6,7,15,45,14,15,45,15,30,1,0
57,0,12,6,7,0,30,14,15,30,9,6,7,3,30,14,15,30,6,24,1,0
80,0,12,6,7,6,42,14,15,36,27,6,7,9,42,14,15,36,27,33,1,0
37,0,11,8,9,24,39,15,16,24,21,8,9,24,39,15,16,24,21,24,0,0
110,0,12,8,9,24,54,14,15,33,24,8,9,27,54,14,15,33,24,27,1,0
18,0,13,6,7,0,18,16,17,15,0,6,7,9,18,16,17,15,6,15,1,1
81,0,12,6,7,15,39,13,14,42,27,6,7,15,39,13,14,42,27,36,0,0
104,0,13,7,8,27,33,13,14,33,27,7,8,27,33,13,14,33,27,30,0,0
99,0,13,7,8,24,39,12,13,39,18,7,8,24,39,12,13,39,18,30,0,0
31,0,11,6,7,9,39,13,14,42,30,6,7,9,39,13,14,42,30,33,0,0
117,0,11,6,7,27,45,14,15,39,27,6,7,27,45,14,15,39,27,33,0,0
127,0,13,8,9,30,48,13,14,36,27,8,9,30,48,13,14,36,27,30,0,0
40,0,12,8,9,39,51,13,14,39,24,8,9,39,51,13,14,39,24,39,0,0
109,0,11,6,7,21,42,13,14,45,33,6,7,21,42,13,14,45,33,39,0,0
110,0,15,6,7,6,30,13,14,21,6,6,7,9,30,13,14,21,0,18,1,0
41,0,15,6,7,0,33,16,17,18,0,6,7,6,33,16,17,18,6,18,1,0
90,0,15,6,7,0,30,13,14,27,21,6,7,0,30,13,14,27,21,24,0,0
56,0,12,7,8,24,27,14,15,33,21,7,8,21,27,14,15,33,21,24,1,0
62,0,13,6,7,0,30,14,15,21,12,6,7,0,30,14,15,24,15,18,1,0
22,0,15,6,7,0,27,16,17,15,0,6,7,0,27,16,17,15,3,15,1,0
32,0,13,8,9,24,45,14,15,24,12,8,9,24,45,14,15,24,12,24,0,0
90,0,15,6,7,0,30,13,14,27,21,6,7,0,30,13,14,27,21,24,0,0
67,0,13,6,7,0,30,14,15,27,15,6,7,0,33,14,15,27,18,27,1,0
27,0,15,8,9,21,24,13,14,21,15,8,9,21,24,13,14,21,18,21,1,0
118,0,11,6,7,24,42,13,14,42,24,6,7,27,42,13,14,42,24,30,1,0
104,0,14,8,9,27,45,13,14,33,18,8,9,27,45,13,14,33,18,30,0,0
